trial_number,trial_duration
1,861.0
2,335.0
3,220.0
4,177.0
5,247.0
6,430.0
7,95.0
8,120.0
9,92.0
10,192.0
11,88.0
12,74.0
13,183.0
14,299.0
15,92.0
16,204.0
17,92.0
18,94.0
19,82.0
20,129.0
21,73.0
22,318.0
23,116.0
24,78.0
25,94.0
26,191.0
27,79.0
28,74.0
29,76.0
30,82.0
31,103.0
32,79.0
33,263.0
34,78.0
35,72.0
36,377.0
37,77.0
38,99.0
39,70.0
40,129.0
41,129.0
42,84.0
43,160.0
44,82.0
45,261.0
46,97.0
47,136.0
48,101.0
49,115.0
50,94.0
51,85.0
52,467.0
53,106.0
54,2337.0
55,4261.0
56,204.0
57,126.0
58,162.0
59,91.0
60,94.0
61,133.0
62,173.0
63,184.0
64,134.0
65,71.0
66,104.0
67,266.0
68,32.0
69,1555.0
70,93.0
71,168.0
72,84.0
73,419.0
74,168.0
75,252.0
76,4342.0
77,187.0
78,112.0
79,120.0
80,314.0
81,137.0
82,316.0
83,32.0
84,95.0
85,95.0
86,65.0
87,293.0
88,69.0
89,306.0
90,1265.0
